project_id,project_title,project_description,data_type,data_quality,scientific_name,taxonomic_rank,ncbi_tax_id,disease_name,mesh_id,phenotype_a,phenotype_a_mesh_id,phenotype_b,phenotype_b_mesh_id,negative_enriched_in,positive_enriched_in,method,effect_type,lda_score,association_url,source_database
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Sutterella wadsworthensis,species,40545,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-3.12339137667932,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJNA682378,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,16S,curated,Intestinibacter,genus,1505657,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-3.0392361046231,https://gmrepo.humangut.info/data/project/PRJNA682378/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Gallintestinimicrobium propionicum,species,2885350,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-3.03834758381185,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Agathobaculum,genus,2048137,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-3.03738832062202,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Mediterraneibacter gnavus,species,33038,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-3.03638630302621,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Agathobaculum butyriciproducens,species,1628085,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-3.02715481623052,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Barnesiella intestinihominis,species,487174,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-3.02201306135602,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Clostridiales bacterium KLE1615,species,1715004,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-3.01557705534753,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Oscillibacter sp. MSJ-31,species,2841526,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-3.01286334164159,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Bacillota bacterium,species,1879010,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-3.00727278576242,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
